1	1	9	33	2	37	0	0	1	
1	2	14	33	5	37	0	6	-1	
1	3	5	39	0	39	0	3	1	
1	4	11	36	3	38	0	0	1	
1	5	11	37	2	44	0	2	1	
1	6	9	46	1	51	0	3	1	
1	7	1	30	0	27	0	1	1	
1	8	8	45	1	51	0	3	1	
1	9	10	47	1	55	0	4	1	
1	10	12	57	1	57	0	3	1	
1	11	15	42	2	44	0	1	-1	
1	12	2	44	0	46	0	6	-1	
1	13	3	30	0	24	0	0	-1	
1	14	5	35	1	33	0	2	-1	
1	15	6	34	1	39	0	1	1	
1	16	8	36	1	36	1	3	1	
1	17	3	38	0	36	1	4	1	
1	18	6	43	2	40	0	3	-1	
1	19	4	36	0	37	0	3	1	
1	20	3	34	0	28	0	1	1	
1	21	8	24	1	22	0	4	-1	
1	22	0	22	0	15	0	0	1	
1	23	3	21	1	16	0	0	1	
1	24	4	22	0	18	0	0	1	
2	1	0	15	0	18	0	0	-1	
2	2	0	19	0	17	1	0	-1	
2	3	4	32	0	26	0	1	1	
2	4	1	10	0	6	0	0	-1	
2	5	2	9	0	7	0	0	-1	
2	6	8	16	0	18	0	1	-1	
2	7	1	10	0	7	0	0	-1	
2	8	0	8	0	5	0	0	1	
2	9	1	20	0	15	0	0	-1	
2	10	1	6	0	4	0	0	1	
2	11	6	17	0	18	0	0	-1	
2	12	4	13	0	13	0	0	1	
2	13	0	14	0	9	0	1	-1	
2	14	2	12	0	12	0	0	-1	
2	15	1	8	0	7	0	0	1	
2	16	1	12	0	10	0	1	1	
2	17	12	21	3	26	0	1	1	
2	18	0	17	0	13	0	0	1	
2	19	0	18	0	18	0	1	-1	
2	20	0	13	0	12	0	0	-1	
2	21	0	18	0	17	0	0	1	
2	22	3	13	1	11	0	0	1	
2	23	0	13	0	10	0	0	1	
2	24	0	9	0	6	0	1	1	
2	25	0	12	0	9	0	2	1	
2	26	1	10	0	8	0	0	-1	
2	27	1	14	0	9	0	0	-1	
2	28	1	15	0	11	0	0	1	
2	29	0	13	0	9	0	0	1	
2	30	5	26	0	29	1	1	-1	
2	31	2	15	1	12	0	0	1	
2	32	1	22	0	17	0	0	1	
2	33	0	16	0	14	0	0	-1	
2	34	1	15	0	10	0	1	1	
2	35	0	17	0	10	1	0	-1	
2	36	0	11	0	7	0	0	-1	
2	37	0	8	0	4	0	0	-1	
2	38	0	2	0	1	0	0	1	
2	39	0	5	0	2	1	0	1	
2	40	0	9	0	6	0	1	1	
3	1	61	73	14	106	1	5	-1	
3	2	141	149	20	250	0	5	-1	
3	3	20	77	1	86	0	2	1	
3	4	56	105	10	134	1	1	1	
3	5	99	113	13	190	0	2	-1	
3	6	78	103	18	158	1	2	1	
4	1	0	15	0	10	0	0	1	
4	2	1	14	0	7	0	1	1	
4	3	3	20	1	14	0	0	-1	
4	4	3	12	1	7	0	0	1	
4	5	2	19	0	16	0	0	1	
4	6	3	28	0	22	0	0	-1	
4	7	3	9	1	6	0	1	1	
4	8	1	17	0	13	1	0	-1	
4	9	4	13	1	8	0	0	-1	
4	10	2	10	1	8	0	0	1	
4	11	1	6	0	2	0	0	1	
4	12	3	6	1	5	0	1	1	
4	13	10	28	1	22	0	1	1	
4	14	3	7	0	4	0	1	1	
4	15	2	8	0	5	0	0	-1	
4	16	1	17	0	11	0	1	1	
4	17	1	15	0	13	0	0	1	
4	18	5	17	0	12	0	0	1	
4	19	3	12	0	11	0	0	1	
4	20	2	13	0	11	0	0	1	
